objectId,inSize,totalTime,generated
o48748,587,120,True
o38739,587,113,True
o25981,587,112,True
o9867,588,128,True
o83712,588,113,True
o75145,588,113,True
o68335,588,113,True
o6248,588,113,True
o43248,589,111,True
o43234,590,114,True
o12503,590,112,True
o64288,591,115,True
o58618,592,117,False
o17438,592,118,True
o79711,593,112,True
o6318,593,110,True
o58930,593,113,True
o53907,593,115,True
o47149,593,116,True
o43976,593,113,True
o42982,593,127,True
o81564,594,114,True
o57386,594,113,True
o75090,595,113,True
o73946,595,114,True
o35168,595,115,True
o79715,596,113,True
o44119,596,113,True
o6316,598,114,True
o10075,598,116,True
o41687,599,113,True
o29042,599,113,True
o26590,599,115,True
o17614,599,116,True
o16731,599,115,True
o16044,599,114,True
o87848,600,114,True
o81575,600,115,True
o8465,601,115,True
o70020,601,115,True
o61504,601,114,True
o47036,601,114,True
o69838,602,127,True
o6224,603,113,True
o45209,603,114,True
o13977,603,123,True
o60660,604,117,True
o55348,604,116,True
o17692,604,113,True
o14452,604,115,True
o21490,605,115,True
o69509,606,116,True
o32929,606,111,True
o28269,606,114,True
o11855,606,112,True
o83696,607,114,True
o17546,607,115,True
o27357,608,113,True
o26974,608,114,True
o53018,609,117,False
o21053,609,140,True
o44191,610,116,True
o85906,611,114,True
o70267,611,117,True
o60869,611,113,True
o44311,611,113,True
o43999,611,112,True
o90885,612,112,True
o89824,612,119,True
o12087,612,124,True
o89823,613,110,True
o61080,613,116,True
o42986,614,116,True
o6025,615,112,True
o39441,615,111,True
o21487,615,116,True
o14509,616,117,True
o87825,617,114,True
o69758,617,110,True
o40230,617,116,True
o69751,618,118,True
o39143,618,116,True
o74171,619,114,True
o44189,619,113,True
o41659,619,111,True
o39494,619,110,True
o9951,620,114,True
o91408,620,116,True
o12607,620,113,True
o87829,621,113,True
o9814,622,121,True
o88608,622,124,True
o64879,623,113,True
o6228,623,115,True
o90265,624,115,True
o84352,624,111,True
o39397,624,113,True
o21847,624,113,True
o21474,624,114,True
o17661,624,123,True
o9885,625,113,True
o60732,625,113,True
o17637,625,114,True
o8412,627,116,True
o81497,627,114,True
o17395,627,112,True
